DATAFLOW,LAST UPDATE,freq,sex,isced11,age,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:EDAT_LFSE_04(1.0),27/09/22 23:00:00,A,T,ED0-2,Y25-64,PC,HU21,2010,22.0,
ESTAT:EDAT_LFSE_04(1.0),27/09/22 23:00:00,A,T,ED0-2,Y25-64,PC,HU22,2010,17.0,
ESTAT:EDAT_LFSE_04(1.0),27/09/22 23:00:00,A,T,ED0-2,Y25-64,PC,HU23,2010,22.3,
ESTAT:EDAT_LFSE_04(1.0),27/09/22 23:00:00,A,T,ED0-2,Y25-64,PC,HU3,2010,22.2,
ESTAT:EDAT_LFSE_04(1.0),27/09/22 23:00:00,A,T,ED0-2,Y25-64,PC,HU31,2010,22.3,
ESTAT:EDAT_LFSE_04(1.0),27/09/22 23:00:00,A,T,ED0-2,Y25-64,PC,HU32,2010,24.6,
ESTAT:EDAT_LFSE_04(1.0),27/09/22 23:00:00,A,T,ED0-2,Y25-64,PC,HU33,2010,19.5,
ESTAT:EDAT_LFSE_04(1.0),27/09/22 23:00:00,A,T,ED0-2,Y25-64,PC,PT,2010,68.3,
ESTAT:EDAT_LFSE_04(1.0),27/09/22 23:00:00,A,T,ED0-2,Y25-64,PC,PT1,2010,67.9,
ESTAT:EDAT_LFSE_04(1.0),27/09/22 23:00:00,A,T,ED0-2,Y25-64,PC,PT11,2010,73.9,
ESTAT:EDAT_LFSE_04(1.0),27/09/22 23:00:00,A,T,ED0-2,Y25-64,PC,PT15,2010,63.0,
ESTAT:EDAT_LFSE_04(1.0),27/09/22 23:00:00,A,T,ED0-2,Y25-64,PC,PT16,2010,72.4,
ESTAT:EDAT_LFSE_04(1.0),27/09/22 23:00:00,A,T,ED0-2,Y25-64,PC,PT17,2010,56.6,
ESTAT:EDAT_LFSE_04(1.0),27/09/22 23:00:00,A,T,ED0-2,Y25-64,PC,PT18,2010,70.5,
ESTAT:EDAT_LFSE_04(1.0),27/09/22 23:00:00,A,T,ED0-2,Y25-64,PC,PT2,2010,78.3,
ESTAT:EDAT_LFSE_04(1.0),27/09/22 23:00:00,A,T,ED0-2,Y25-64,PC,PT20,2010,78.3,
ESTAT:EDAT_LFSE_04(1.0),27/09/22 23:00:00,A,T,ED0-2,Y25-64,PC,PT3,2010,73.6,
ESTAT:EDAT_LFSE_04(1.0),27/09/22 23:00:00,A,T,ED0-2,Y25-64,PC,PT30,2010,73.6,
ESTAT:EDAT_LFSE_04(1.0),27/09/22 23:00:00,A,T,ED0-2,Y25-64,PC,SK,2010,9.0,
ESTAT:EDAT_LFSE_04(1.0),27/09/22 23:00:00,A,T,ED0-2,Y25-64,PC,SK0,2010,9.0,
ESTAT:EDAT_LFSE_04(1.0),27/09/22 23:00:00,A,T,ED0-2,Y25-64,PC,SK01,2010,5.8,
ESTAT:EDAT_LFSE_04(1.0),27/09/22 23:00:00,A,T,ED0-2,Y25-64,PC,SK02,2010,8.4,
ESTAT:EDAT_LFSE_04(1.0),27/09/22 23:00:00,A,T,ED0-2,Y25-64,PC,SK03,2010,9.5,
ESTAT:EDAT_LFSE_04(1.0),27/09/22 23:00:00,A,T,ED0-2,Y25-64,PC,SK04,2010,10.9,
